Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-06-22,83.57,85.805,82.95,83.98,29278.0,0.0,1.0,83.57,85.805,82.95,83.98,29278.0
2016-06-21,84.51,85.91,82.25,83.2,81829.0,0.0,1.0,84.51,85.91,82.25,83.2,81829.0
2016-06-20,79.77,84.32,77.9,83.29,55547.0,0.0,1.0,79.77,84.32,77.9,83.29,55547.0
2016-06-17,79.86,81.97,76.0,78.92,78165.0,0.0,1.0,79.86,81.97,76.0,78.92,78165.0
2016-06-16,77.85,81.9,76.15,80.01,73823.0,0.0,1.0,77.85,81.9,76.15,80.01,73823.0
2016-06-15,79.02,80.4,77.51,79.75,71896.0,0.0,1.0,79.02,80.4,77.51,79.75,71896.0
2016-06-14,74.83,80.68,74.64,78.7,79048.0,0.0,1.0,74.83,80.68,74.64,78.7,79048.0
2016-06-13,74.51,76.5,73.81,74.8,32672.0,0.0,1.0,74.51,76.5,73.81,74.8,32672.0
2016-06-10,65.77,75.47,65.77,74.97,129153.0,0.0,1.0,65.77,75.47,65.77,74.97,129153.0
2016-06-09,63.81,72.2734,63.81,67.9,155452.0,0.0,1.0,63.81,72.2734,63.81,67.9,155452.0
2016-06-08,61.89,63.44,61.32,63.22,24393.0,0.0,1.0,61.89,63.44,61.32,63.22,24393.0
2016-06-07,62.49,63.1,60.46,62.42,23170.0,0.0,1.0,62.49,63.1,60.46,62.42,23170.0
2016-06-06,60.59,62.73,59.71,62.73,17972.0,0.0,1.0,60.59,62.73,59.71,62.73,17972.0
2016-06-03,60.3,61.49,60.01,60.01,18744.0,0.0,1.0,60.3,61.49,60.01,60.01,18744.0
2016-06-02,59.82,61.7,59.81,61.23,20008.0,0.0,1.0,59.82,61.7,59.81,61.23,20008.0
2016-06-01,59.89,61.03,59.1779,60.2,13984.0,0.0,1.0,59.89,61.03,59.1779,60.2,13984.0
2016-05-31,59.25,60.69,58.9,60.01,13224.0,0.0,1.0,59.25,60.69,58.9,60.01,13224.0
2016-05-27,59.33,59.85,58.0,59.29,24385.0,0.0,1.0,59.33,59.85,58.0,59.29,24385.0
2016-05-26,59.5,60.12,58.42,59.04,12859.0,0.0,1.0,59.5,60.12,58.42,59.04,12859.0
2016-05-25,62.12,62.85,59.98,60.17,12518.0,0.0,1.0,62.12,62.85,59.98,60.17,12518.0
2016-05-24,60.31,62.57,60.01,61.69,20574.0,0.0,1.0,60.31,62.57,60.01,61.69,20574.0
2016-05-23,60.73,62.15,60.0,61.7,16973.0,0.0,1.0,60.73,62.15,60.0,61.7,16973.0
2016-05-20,58.77,60.81,57.99,60.6,24120.0,0.0,1.0,58.77,60.81,57.99,60.6,24120.0
2016-05-19,57.42,58.96,56.89,58.68,14113.0,0.0,1.0,57.42,58.96,56.89,58.68,14113.0
2016-05-18,57.24,58.87,57.24,58.09,18095.0,0.0,1.0,57.24,58.87,57.24,58.09,18095.0
2016-05-17,58.51,59.86,57.29,57.7,46862.0,0.0,1.0,58.51,59.86,57.29,57.7,46862.0
2016-05-16,60.24,60.24,58.24,58.75,13801.0,0.0,1.0,60.24,60.24,58.24,58.75,13801.0
2016-05-13,59.94,60.93,59.52,60.61,9249.0,0.0,1.0,59.94,60.93,59.52,60.61,9249.0
2016-05-12,60.65,60.788,58.69,60.09,9106.0,0.0,1.0,60.65,60.788,58.69,60.09,9106.0
2016-05-11,62.12,62.12,60.4,60.41,8277.0,0.0,1.0,62.12,62.12,60.4,60.41,8277.0
2016-05-10,63.07,63.07,61.99,62.27,14192.0,0.0,1.0,63.07,63.07,61.99,62.27,14192.0
2016-05-09,60.06,61.41,60.06,61.15,15151.0,0.0,1.0,60.06,61.41,60.06,61.15,15151.0
2016-05-06,62.16,62.45,60.865,61.36,16596.0,0.0,1.0,62.16,62.45,60.865,61.36,16596.0
2016-05-05,62.27,62.86,61.91,62.43,8023.0,0.0,1.0,62.27,62.86,61.91,62.43,8023.0
2016-05-04,62.53,63.1538,60.88,62.07,19463.0,0.0,1.0,62.53,63.1538,60.88,62.07,19463.0
2016-05-03,63.73,63.73,61.9,63.11,15518.0,0.0,1.0,63.73,63.73,61.9,63.11,15518.0
2016-05-02,64.52,64.52,62.6601,64.18,7816.0,0.0,1.0,64.52,64.52,62.6601,64.18,7816.0
2016-04-29,62.49,62.81,61.61,61.63,16484.0,0.0,1.0,62.49,62.81,61.61,61.63,16484.0
2016-04-28,64.645,70.61,62.965,63.02,9622.0,0.25,1.0,64.645,70.61,62.965,63.02,9622.0
2016-04-27,65.07,65.53,63.01,65.1,13431.0,0.0,1.0,65.07,65.53,63.01,65.1,13431.0
2016-04-26,62.74,65.41,62.61,65.38,14502.0,0.0,1.0,62.492094199463,65.151544175755,62.362607871029,65.121662715347,14502.0
2016-04-25,64.47,64.47,62.21,62.75,19180.0,0.0,1.0,64.215258416311,64.215258416311,61.964188398925,62.502054686265,19180.0
2016-04-22,64.14,65.35,63.45,64.86,11519.0,0.0,1.0,63.886562351826,65.091781254939,63.199288762447,64.603717401612,11519.0
2016-04-21,66.54,66.5534,63.5,64.48,17906.0,0.0,1.0,66.277079184448,66.290426236763,63.24909119646,64.225218903114,17906.0
2016-04-20,65.79,67.09,65.79,66.86,17467.0,0.0,1.0,65.530042674253,66.82490595859,65.530042674253,66.595814762131,17467.0
